CustomerID,Recency,Frequency,Monetary,Cluster,AOV,CLV,Churn,Purchase_Interval,Segment
12347.0,2,7,4310.0,0,615.7142857142857,12930.0,0,0.2857142857142857,Loyal Customers
12348.0,75,4,1797.24,0,449.31,5391.72,0,18.75,Loyal Customers
12349.0,19,1,1757.55,0,1757.55,5272.65,0,19.0,Loyal Customers
12352.0,36,8,2506.04,0,313.255,7518.12,0,4.5,Loyal Customers
12356.0,23,3,2811.43,0,937.1433333333333,8434.289999999999,0,7.666666666666667,Loyal Customers
12357.0,33,1,6207.67,0,6207.67,18623.010000000002,0,33.0,Loyal Customers
12358.0,2,2,1168.06,0,584.03,3504.18,0,1.0,Loyal Customers
12359.0,58,4,6372.58,0,1593.145,19117.739999999998,0,14.5,Loyal Customers
12360.0,52,3,2662.06,0,887.3533333333334,7986.18,0,17.333333333333332,Loyal Customers
12362.0,3,10,5226.23,0,522.6229999999999,15678.689999999999,0,0.3,Loyal Customers
12363.0,110,2,552.0,0,276.0,1656.0,1,55.0,Loyal Customers
12364.0,8,4,1313.1,0,328.275,3939.2999999999997,0,2.0,Loyal Customers
12367.0,4,1,168.9,0,168.9,506.70000000000005,0,4.0,Loyal Customers
12370.0,51,4,3545.69,0,886.4225,10637.07,0,12.75,Loyal Customers
12371.0,45,2,1887.96,0,943.98,5663.88,0,22.5,Loyal Customers
12372.0,72,3,1298.04,0,432.68,3894.12,0,24.0,Loyal Customers
12374.0,25,1,742.9300000000001,0,742.9300000000001,2228.79,0,25.0,Loyal Customers
12375.0,11,2,457.5,0,228.75,1372.5,0,5.5,Loyal Customers
12378.0,130,1,4008.62,0,4008.62,12025.86,1,130.0,Loyal Customers
12379.0,82,2,852.24,0,426.12,2556.7200000000003,0,41.0,Loyal Customers
12380.0,22,4,2724.81,0,681.2025,8174.43,0,5.5,Loyal Customers
12381.0,5,5,1845.31,0,369.062,5535.93,0,1.0,Loyal Customers
12384.0,29,2,585.27,0,292.635,1755.81,0,14.5,Loyal Customers
12388.0,16,6,2780.66,0,463.4433333333333,8341.98,0,2.6666666666666665,Loyal Customers
12390.0,80,1,549.84,0,549.84,1649.52,0,80.0,Loyal Customers
12391.0,22,1,460.89,0,460.89,1382.67,0,22.0,Loyal Customers
12393.0,72,4,1582.6000000000001,0,395.65000000000003,4747.8,0,18.0,Loyal Customers
12394.0,64,2,1272.48,0,636.24,3817.44,0,32.0,Loyal Customers
12395.0,19,12,3018.63,0,251.5525,9055.89,0,1.5833333333333333,Loyal Customers
12397.0,36,2,2409.9,0,1204.95,7229.700000000001,0,18.0,Loyal Customers
12398.0,46,1,1635.6599999999999,0,1635.6599999999999,4906.98,0,46.0,Loyal Customers
12399.0,119,4,1108.65,0,277.1625,3325.9500000000003,1,29.75,Loyal Customers
12403.0,50,1,427.7,0,427.7,1283.1,0,50.0,Loyal Customers
12406.0,22,2,3415.3,0,1707.65,10245.900000000001,0,11.0,Loyal Customers
12407.0,50,5,1708.1200000000001,0,341.624,5124.360000000001,0,10.0,Loyal Customers
12408.0,33,5,2888.55,0,577.71,8665.650000000001,0,6.6,Loyal Customers
12409.0,79,3,11072.67,0,3690.89,33218.01,0,26.333333333333332,Loyal Customers
12412.0,75,3,1226.88,0,408.96000000000004,3680.6400000000003,0,25.0,Loyal Customers
12413.0,67,3,758.1,0,252.70000000000002,2274.3,0,22.333333333333332,Loyal Customers
12417.0,3,9,3649.1,0,405.4555555555555,10947.3,0,0.3333333333333333,Loyal Customers
12418.0,113,1,668.58,0,668.58,2005.7400000000002,1,113.0,Loyal Customers
12420.0,64,1,600.39,0,600.39,1801.17,0,64.0,Loyal Customers
